year,accomplishment,person,gender,category
1961,First black person to win the Heisman Trophy,Ernie Davis,Male Achievement,Sports
1961,First black person to serve on a U.S. district court,"James Benton Parsons, appointed to the U.S. District Court for the Northern District of Illinois",Male Achievement,Military
1961,First black tenor to sing leading roles for the Metropolitan Opera,George Shirley,Male Achievement,Arts & Entertainment
1961,First black delegate to the North Atlantic Treaty Organization,Edith S. Sampson,Male Achievement,Politics
1961,First black person to go over Niagara Falls,Nathan Boya a.k.a. William FitzGerald,Male Achievement,Social & Jobs
1961,First black person to join the PGA Tour,Charlie Sifford,Male Achievement,Sports
1962,First black person to be inducted into the Baseball Hall of Fame,Jackie Robinson,Male Achievement,Education & Science
1962,First black coach in Major League Baseball,John Jordan Buck O'Neil (Chicago Cubs),Male Achievement,Education & Science
1962,First black attorney general of a state,Edward Brooke (Massachusetts),Male Achievement,Military
1963,First black bank examiner for the United States Department of the Treasury,Roland Burris,Male Achievement,Politics
1963,First black person named as Time magazine's Man of the Year,Martin Luther King Jr.,Male Achievement,Arts & Entertainment
1963,First black police officer of the NYPD to be named a precinct commander,"Lloyd Sealy, commander of the NYPD's 28th Precinct in Harlem.",Male Achievement,Military
1963,First black person to be named American League MVP,Elston Howard (New York Yankees),Male Achievement,Education & Science
1963,First black chess master,Walter Harris,Male Achievement,Social & Jobs
1963,First black person to appear as a series regular on a primetime dramatic television series,"Cicely Tyson, East Side/West Side (CBS).",Male Achievement,Arts & Entertainment
1963,First black person to be nominated for a Primetime Emmy Award,"Diahann Carroll, for Outstanding Single Performance by an Actress in a Lead Role, for episode A Horse Has a Big Head, Let Him Worry of Naked City",Male Achievement,Arts & Entertainment
1963,First black people inducted to the Basketball Hall of Fame,"New York Renaissance, inducted as a team.",Male Achievement,Education & Science
1963,First black person to graduate from the U.S. Air Force Academy,Charles V. Bush.,Male Achievement,Military
1964,First black pilot for a major commercial airline,"David Harris, American Airlines",Male Achievement,Social & Jobs
1964,First movie with black interracial marriage,"One Potato, Two Potato, actors Bernie Hamilton and Barbara Barrie, written by Orville H. Hampton, Raphael Hayes, directed by Larry Peerce",Male Achievement,Arts & Entertainment
1964,First black baseball player to be named the Major League Baseball World Series MVP,"Bob Gibson, St. Louis Cardinals",Male Achievement,Education & Science
1965,First black nationally syndicated cartoonist,Morrie Turner (Wee Pals),Male Achievement,Arts & Entertainment
1965,First black title character of a comic book series,Lobo (Dell Comics),Male Achievement,Arts & Entertainment
1965,First black star of a network television drama,"Bill Cosby, I Spy (co-star with Robert Culp)",Male Achievement,Arts & Entertainment
1965,First black cast member of a daytime soap opera,Micki Grant who played Peggy Nolan Harris on Another World until 1972.,Male Achievement,Arts & Entertainment
1965,First black Playboy Playmate centerfold,Jennifer Jackson (March issue),Male Achievement,Social & Jobs
1965,First black U.S. Air Force General,Benjamin Oliver Davis Jr. (Three-star General),Male Achievement,Military
1965,First black woman Ambassador of the United States,"Patricia Roberts Harris, ambassador to Luxembourg",Female Achievement,Education & Science
1965,First black NFL official,"Burl Toler, field judge/head linesman",Male Achievement,Sports
